PLAYER_NAME,PLAYER_ID,ab3c attempt,ab3lc attempt,ab3rc attempt,paint attempt,lc3 attempt,mrc attempt,mrlc attempt,mrl attempt,mrrc attempt,mrr attempt,ra attempt,rc3 attempt,ab3c pct,ab3lc pct,ab3rc pct,paint pct,lc3 pct,mrc pct,mrlc pct,mrl pct,mrrc pct,mrr pct,ra pct,rc3 pct,total_attempts,Salary,Pos,Ht,Wt,Exp,Birth Date,Ht_in
Aaron Gordon,203932,55,66,65,119,27,22,20,34,24,36,275,18,0.3090909090909091,0.25757575757575757,0.36923076923076925,0.35294117647058826,0.37037037037037035,0.3181818181818182,0.15,0.35294117647058826,0.041666666666666664,0.3055555555555556,0.6763636363636364,0.2777777777777778,767,19863636,PF,6-8,235,5,"September 16, 1995",80
Aaron Holiday,1628988,44,68,70,106,16,28,16,17,14,19,142,22,0.4318181818181818,0.38235294117647056,0.35714285714285715,0.3490566037735849,0.4375,0.32142857142857145,0.625,0.17647058823529413,0.42857142857142855,0.21052631578947367,0.5422535211267606,0.45454545454545453,563,2239200,PG,6-0,185,1,"September 30, 1996",72
Al Horford,201143,113,70,63,111,15,47,16,36,9,49,158,22,0.35398230088495575,0.3142857142857143,0.42857142857142855,0.36036036036036034,0.26666666666666666,0.44680851063829785,0.375,0.4166666666666667,0.3333333333333333,0.5102040816326531,0.6962025316455697,0.2727272727272727,709,28000000,C,6-9,240,12,"June 3, 1986",81
Alec Burks,202692,64,87,89,138,34,31,22,24,27,39,186,25,0.453125,0.3218390804597701,0.34831460674157305,0.34057971014492755,0.5,0.3225806451612903,0.36363636363636365,0.4583333333333333,0.37037037037037035,0.5128205128205128,0.532258064516129,0.44,768,2320044,SF,6-6,214,8,"July 20, 1991",78
Andrew Wiggins,203952,73,137,77,210,30,35,27,25,29,20,298,17,0.3835616438356164,0.291970802919708,0.35064935064935066,0.3761904761904762,0.43333333333333335,0.3142857142857143,0.3333333333333333,0.4,0.3793103448275862,0.25,0.674496644295302,0.17647058823529413,978,27504630,SF,6-7,197,5,"February 23, 1995",79
Anfernee Simons,1629014,30,77,74,78,24,26,17,13,28,23,126,17,0.36666666666666664,0.38961038961038963,0.2702702702702703,0.3076923076923077,0.4166666666666667,0.46153846153846156,0.4117647058823529,0.38461538461538464,0.42857142857142855,0.391304347826087,0.5555555555555556,0.23529411764705882,536,2149560,SG,6-3,181,1,"June 8, 1999",75
Anthony Davis,203076,53,71,48,207,28,38,53,103,23,35,419,15,0.33962264150943394,0.28169014084507044,0.3125,0.40096618357487923,0.5357142857142857,0.39473684210526316,0.3018867924528302,0.3786407766990291,0.17391304347826086,0.4,0.7350835322195705,0.26666666666666666,1096,27093019,PF,6-10,253,7,"March 11, 1993",82
Avery Bradley,202340,13,48,28,34,47,31,17,16,24,12,76,36,0.38461538461538464,0.3333333333333333,0.42857142857142855,0.47058823529411764,0.44680851063829785,0.5483870967741935,0.23529411764705882,0.4375,0.4583333333333333,0.4166666666666667,0.618421052631579,0.25,383,4767000,SG,6-3,180,9,"November 26, 1990",75
Bobby Portis,1626171,56,30,61,121,23,23,12,34,13,50,150,16,0.3392857142857143,0.23333333333333334,0.39344262295081966,0.4793388429752066,0.5217391304347826,0.30434782608695654,0.5833333333333334,0.38235294117647056,0.6153846153846154,0.32,0.6,0.25,589,15000000,PF,6-10,250,4,"February 10, 1995",82
Bogdan Bogdanovic,203992,74,156,120,108,44,23,11,25,16,26,116,46,0.2972972972972973,0.4423076923076923,0.3416666666666667,0.48148148148148145,0.36363636363636365,0.6521739130434783,0.36363636363636365,0.4,0.625,0.4230769230769231,0.6120689655172413,0.34782608695652173,766,8529386,SG,6-6,220,2,"August 18, 1992",78
Bojan Bogdanovic,202711,76,102,126,178,58,18,5,13,5,27,232,94,0.4342105263157895,0.4117647058823529,0.35714285714285715,0.38764044943820225,0.5,0.2777777777777778,0.2,0.38461538461538464,0.2,0.25925925925925924,0.6077586206896551,0.425531914893617,935,17000000,SF,6-7,226,5,"April 18, 1989",79
Bradley Beal,203078,114,167,138,188,38,68,41,63,36,63,363,23,0.30701754385964913,0.39520958083832336,0.36231884057971014,0.39893617021276595,0.3684210526315789,0.5294117647058824,0.36585365853658536,0.36507936507936506,0.3055555555555556,0.42857142857142855,0.650137741046832,0.21739130434782608,1303,27093018,SG,6-3,207,7,"June 28, 1993",75
