PLAYER_NAME,PLAYER_ID,ab3c attempt,ab3lc attempt,ab3rc attempt,paint attempt,lc3 attempt,mrc attempt,mrlc attempt,mrl attempt,mrrc attempt,mrr attempt,ra attempt,rc3 attempt,ab3c pct,ab3lc pct,ab3rc pct,paint pct,lc3 pct,mrc pct,mrlc pct,mrl pct,mrrc pct,mrr pct,ra pct,rc3 pct,total_attempts,Salary,Pos,Ht,Wt,Exp,Birth Date
Aaron Gordon,203932,55,66,65,119,27,22,20,34,24,36,275,18,0.3090909090909091,0.25757575757575757,0.36923076923076925,0.35294117647058826,0.37037037037037035,0.3181818181818182,0.15,0.35294117647058826,0.041666666666666664,0.3055555555555556,0.6763636363636364,0.2777777777777778,767,19863636,PF,6-8,235,5,"September 16, 1995"
Aaron Holiday,1628988,44,68,70,106,16,28,16,17,14,19,142,22,0.4318181818181818,0.38235294117647056,0.35714285714285715,0.3490566037735849,0.4375,0.32142857142857145,0.625,0.17647058823529413,0.42857142857142855,0.21052631578947367,0.5422535211267606,0.45454545454545453,563,2239200,PG,6-0,185,1,"September 30, 1996"
Abdel Nader,1627846,17,37,32,38,25,3,5,5,1,2,81,17,0.23529411764705882,0.43243243243243246,0.3125,0.3684210526315789,0.36,0.6666666666666666,0.2,0.4,0,0.5,0.6790123456790124,0.5294117647058824,263,1618520,SF,6-5,225,2,"September 25, 1993"
Adam Mokoka,1629690,0,5,2,0,4,1,0,0,0,0,12,4,0,0.6,0,0,0.25,0,0,0,0,0,0.5,0.5,28,79568,SF,6-4,190,0,"July 18, 1998"
Admiral Schofield,1629678,10,16,14,7,11,0,0,3,1,2,18,9,0.4,0.25,0.14285714285714285,0.42857142857142855,0.5454545454545454,0,0,1,1,0,0.5,0.3333333333333333,92,1000000,PF,6-5,241,0,"March 30, 1997"
Al Horford,201143,113,70,63,111,15,47,16,36,9,49,158,22,0.35398230088495575,0.3142857142857143,0.42857142857142855,0.36036036036036034,0.26666666666666666,0.44680851063829785,0.375,0.4166666666666667,0.3333333333333333,0.5102040816326531,0.6962025316455697,0.2727272727272727,709,28000000,C,6-9,240,12,"June 3, 1986"
Al-Farouq Aminu,202329,12,6,8,16,4,2,0,0,3,1,28,6,0.25,0.16666666666666666,0.25,0.25,0.5,0.5,0,0,0.3333333333333333,0,0.35714285714285715,0.16666666666666666,86,9258000,PF,6-8,220,9,"September 21, 1990"
Alec Burks,202692,64,87,89,138,34,31,22,24,27,39,186,25,0.453125,0.3218390804597701,0.34831460674157305,0.34057971014492755,0.5,0.3225806451612903,0.36363636363636365,0.4583333333333333,0.37037037037037035,0.5128205128205128,0.532258064516129,0.44,768,2320044,SF,6-6,214,8,"July 20, 1991"
Alen Smailagic,1629346,4,1,3,7,2,2,0,1,0,1,16,3,0.25,0,0.3333333333333333,0.2857142857142857,0.5,0.5,0,0,0,0,0.875,0,40,898310,C,6-10,215,0,"August 18, 2000"
Alex Caruso,1627936,27,20,32,32,17,11,2,8,3,7,109,22,0.3333333333333333,0.4,0.34375,0.09375,0.29411764705882354,0.36363636363636365,0.5,0.125,0,0.14285714285714285,0.6422018348623854,0.3181818181818182,291,2750000,PG,6-4,186,2,"February 28, 1994"
Alex Len,203458,14,8,9,68,9,4,1,1,1,0,186,18,0.35714285714285715,0,0.1111111111111111,0.4852941176470588,0.5555555555555556,0,0,0,1,0,0.6827956989247311,0.2777777777777778,319,4160000,C,7-0,250,6,"June 16, 1993"
Alfonzo McKinnie,1628035,3,12,19,24,14,3,0,5,0,8,67,16,0.3333333333333333,0.3333333333333333,0.05263157894736842,0.4166666666666667,0.21428571428571427,0,0,0.4,0,0.375,0.6567164179104478,0.3125,171,2391985,SF,6-7,215,2,"September 17, 1992"
Alize Johnson,1628993,0,2,1,5,2,0,0,0,0,1,15,3,0,0.5,0,0.2,0,0,0,0,0,0,0.5333333333333333,0.6666666666666666,29,1416852,PF,6-7,212,1,"April 22, 1996"
Amir Coffey,1629599,3,2,7,9,3,4,1,1,0,2,18,4,0,0.5,0.14285714285714285,0.4444444444444444,0.6666666666666666,0.25,1,0,0,0.5,0.5555555555555556,0.5,54,79568,SG,6-7,210,0,"June 17, 1997"
Andre Drummond,203083,8,12,4,199,4,2,1,3,2,10,532,5,0.25,0,0,0.34673366834170855,0.25,0,0,0.3333333333333333,0,0.4,0.6372180451127819,0.4,784,27093018,C,6-10,279,7,"August 10, 1993"
Andre Iguodala,2738,4,11,9,4,6,3,1,6,1,1,25,16,0.25,0.36363636363636365,0.2222222222222222,0.25,0.16666666666666666,0.6666666666666666,1,0.16666666666666666,1,0,0.72,0.375,88,17185185,SF,6-6,215,15,"January 28, 1984"
Andre Roberson,203460,3,2,4,3,3,0,0,0,0,0,12,1,0.6666666666666666,0,0.25,0,0,0,0,0,0,0,0.4166666666666667,0,29,10740740,SF,6-7,210,5,"December 4, 1991"
Andrew Wiggins,203952,73,137,77,210,30,35,27,25,29,20,298,17,0.3835616438356164,0.291970802919708,0.35064935064935066,0.3761904761904762,0.43333333333333335,0.3142857142857143,0.3333333333333333,0.4,0.3793103448275862,0.25,0.674496644295302,0.17647058823529413,978,27504630,SF,6-7,197,5,"February 23, 1995"
Anfernee Simons,1629014,30,77,74,78,24,26,17,13,28,23,126,17,0.36666666666666664,0.38961038961038963,0.2702702702702703,0.3076923076923077,0.4166666666666667,0.46153846153846156,0.4117647058823529,0.38461538461538464,0.42857142857142855,0.391304347826087,0.5555555555555556,0.23529411764705882,536,2149560,SG,6-3,181,1,"June 8, 1999"
Ante Zizic,1627790,0,0,0,19,0,2,0,2,0,3,46,0,0,0,0,0.47368421052631576,0,0,0,1,0,0.6666666666666666,0.6086956521739131,0,72,2281800,C,6-10,266,2,"January 4, 1997"
Anthony Davis,203076,53,71,48,207,28,38,53,103,23,35,419,15,0.33962264150943394,0.28169014084507044,0.3125,0.40096618357487923,0.5357142857142857,0.39473684210526316,0.3018867924528302,0.3786407766990291,0.17391304347826086,0.4,0.7350835322195705,0.26666666666666666,1096,27093019,PF,6-10,253,7,"March 11, 1993"
Anthony Tolliver,201229,27,27,52,7,14,0,1,3,1,2,23,25,0.3333333333333333,0.25925925925925924,0.3076923076923077,0.42857142857142855,0.5,0,0,0.3333333333333333,1,1,0.391304347826087,0.4,182,434704,PF,6-8,240,11,"June 1, 1985"
Antonius Cleveland,1628499,0,0,2,2,0,0,1,0,0,0,8,1,0,0,0,0.5,0,0,0,0,0,0,0.375,0,14,79568,SG,6-5,195,1,"February 2, 1994"
Anzejs Pasecniks,1628394,2,1,0,42,0,5,0,2,2,3,59,0,0,0,0,0.40476190476190477,0,0.2,0,0,0,0,0.7288135593220338,0,116,482144,C,7-1,229,0,"December 20, 1995"
Aron Baynes,203382,82,34,28,59,13,1,1,9,3,3,137,11,0.4024390243902439,0.35294117647058826,0.2857142857142857,0.5423728813559322,0.15384615384615385,1,0,0.3333333333333333,0,0.3333333333333333,0.635036496350365,0.36363636363636365,381,5453280,C,6-10,260,7,"December 9, 1986"
Austin Rivers,203085,23,109,75,64,32,1,1,0,2,4,159,31,0.2608695652173913,0.3486238532110092,0.32,0.328125,0.625,0,0,0,1,0.25,0.5723270440251572,0.25806451612903225,501,2174310,SG,6-4,200,7,"August 1, 1992"
Avery Bradley,202340,13,48,28,34,47,31,17,16,24,12,76,36,0.38461538461538464,0.3333333333333333,0.42857142857142855,0.47058823529411764,0.44680851063829785,0.5483870967741935,0.23529411764705882,0.4375,0.4583333333333333,0.4166666666666667,0.618421052631579,0.25,383,4767000,SG,6-3,180,9,"November 26, 1990"
Bam Adebayo,1628389,1,4,0,248,4,25,18,19,10,22,434,4,0,0.25,0,0.4435483870967742,0,0.16,0.16666666666666666,0.15789473684210525,0.4,0.3181818181818182,0.7073732718894009,0.25,790,3454080,PF,6-9,255,2,"July 18, 1997"
Ben McLemore,203463,41,154,110,10,70,0,0,0,0,1,82,74,0.3170731707317073,0.4025974025974026,0.37272727272727274,0.2,0.42857142857142855,0,0,0,0,1,0.7073170731707317,0.47297297297297297,545,2028594,SF,6-3,195,6,"February 11, 1993"
Ben Simmons,1627732,0,1,1,164,2,2,1,5,0,8,460,1,0,0,0,0.34146341463414637,0.5,0.5,0,0.2,0,0.25,0.6804347826086956,1,647,8113929,PG,6-11,240,2,"July 20, 1996"
