PLAYER_NAME,PLAYER_ID,ab3c attempt,ab3lc attempt,ab3rc attempt,paint attempt,lc3 attempt,mrc attempt,mrlc attempt,mrl attempt,mrrc attempt,mrr attempt,ra attempt,rc3 attempt,ab3c pct,ab3lc pct,ab3rc pct,paint pct,lc3 pct,mrc pct,mrlc pct,mrl pct,mrrc pct,mrr pct,ra pct,rc3 pct,total_attempts,Salary,Pos,Ht,Wt,Exp,Birth Date,Ht_in
Aaron Gordon,203932,69,111,71,140,52,41,35,47,24,29,383,40,0.30434782608695654,0.36936936936936937,0.323943661971831,0.34285714285714286,0.3269230769230769,0.2682926829268293,0.2857142857142857,0.2978723404255319,0.5,0.3793103448275862,0.6344647519582245,0.475,1046,21590909,PF,6-8,235,4,"September 16, 1995",80
Al Horford,201143,82,49,51,143,9,49,23,29,22,47,206,12,0.35365853658536583,0.30612244897959184,0.45098039215686275,0.5104895104895105,0.4444444444444444,0.4897959183673469,0.6086956521739131,0.5862068965517241,0.5454545454545454,0.5531914893617021,0.7184466019417476,0.16666666666666666,723,28928710,C,6-9,240,11,"June 3, 1986",80
Alec Burks,202692,33,59,40,77,24,12,7,23,11,19,157,10,0.36363636363636365,0.4576271186440678,0.25,0.2597402597402597,0.3333333333333333,0.16666666666666666,0.2857142857142857,0.2608695652173913,0.2727272727272727,0.47368421052631576,0.5668789808917197,0.4,474,11536515,SG,6-6,214,7,"July 20, 1991",80
Allen Crabbe,203459,66,58,71,26,29,15,9,13,5,11,36,32,0.2878787878787879,0.41379310344827586,0.3380281690140845,0.2692307692307692,0.5172413793103449,0.26666666666666666,0.1111111111111111,0.3076923076923077,0.4,0.18181818181818182,0.5555555555555556,0.46875,373,19332500,SG,6-5,212,5,"April 9, 1992",80
Allonzo Trier,1629019,39,38,33,49,11,53,19,13,25,15,212,11,0.41025641025641024,0.42105263157894735,0.36363636363636365,0.30612244897959184,0.2727272727272727,0.3584905660377358,0.2631578947368421,0.3076923076923077,0.48,0.4666666666666667,0.5566037735849056,0.45454545454545453,518,3382000,SG,6-4,200,0,"January 17, 1996",80
Andrew Wiggins,203952,71,136,74,184,39,59,60,86,57,58,360,22,0.352112676056338,0.3235294117647059,0.25675675675675674,0.32608695652173914,0.5897435897435898,0.3389830508474576,0.23333333333333334,0.43023255813953487,0.2631578947368421,0.43103448275862066,0.5833333333333334,0.2727272727272727,1209,25467250,SF,6-7,197,4,"February 23, 1995",80
Anthony Davis,203076,54,40,39,218,6,41,49,81,26,37,429,5,0.37037037037037035,0.325,0.23076923076923078,0.42201834862385323,0.8333333333333334,0.4146341463414634,0.3469387755102041,0.3333333333333333,0.3076923076923077,0.3783783783783784,0.7156177156177156,0.2,1026,25434263,C,6-10,253,6,"March 11, 1993",80
Antonio Blakeney,1628469,24,12,14,117,31,51,14,25,17,16,66,8,0.2916666666666667,0.16666666666666666,0.42857142857142855,0.4188034188034188,0.5161290322580645,0.3333333333333333,0.42857142857142855,0.4,0.29411764705882354,0.1875,0.6212121212121212,0.5,396,1349383,SG,6-4,192,1,"October 4, 1996",80
Avery Bradley,202340,23,86,39,66,64,60,56,29,29,18,107,28,0.30434782608695654,0.37209302325581395,0.3076923076923077,0.3787878787878788,0.375,0.5333333333333333,0.42857142857142855,0.5172413793103449,0.3793103448275862,0.2777777777777778,0.4672897196261682,0.39285714285714285,608,12000000,SG,6-3,180,8,"November 26, 1990",80
Blake Griffin,201933,115,175,128,247,72,12,12,54,10,18,467,28,0.3826086956521739,0.38857142857142857,0.265625,0.3603238866396761,0.4583333333333333,0.08333333333333333,0.4166666666666667,0.2222222222222222,0.5,0.2777777777777778,0.6723768736616702,0.32142857142857145,1341,31873932,PF,6-9,250,8,"March 16, 1989",80
Bobby Portis,1626171,69,51,49,136,13,13,11,23,16,40,198,9,0.4057971014492754,0.35294117647058826,0.4489795918367347,0.39705882352941174,0.46153846153846156,0.3076923076923077,0.36363636363636365,0.2608695652173913,0.3125,0.45,0.5707070707070707,0.1111111111111111,628,2494346,PF,6-10,250,3,"February 10, 1995",80
Bogdan Bogdanovic,203992,82,130,114,164,20,45,15,30,24,32,181,23,0.35365853658536583,0.36153846153846153,0.3684210526315789,0.40853658536585363,0.4,0.37777777777777777,0.6666666666666666,0.36666666666666664,0.4166666666666667,0.375,0.5524861878453039,0.34782608695652173,863,9000000,SG,6-6,220,1,"August 18, 1992",80
Bojan Bogdanovic,202711,58,119,91,152,69,31,16,39,17,57,353,49,0.4482758620689655,0.31932773109243695,0.43956043956043955,0.42105263157894735,0.5507246376811594,0.41935483870967744,0.375,0.3076923076923077,0.6470588235294118,0.45614035087719296,0.6402266288951841,0.4489795918367347,1051,10500000,SF,6-8,226,4,"April 18, 1989",80
Bradley Beal,203078,132,225,149,166,51,85,55,74,78,53,501,39,0.3939393939393939,0.3111111111111111,0.3288590604026846,0.42771084337349397,0.43137254901960786,0.4,0.36363636363636365,0.527027027027027,0.4358974358974359,0.37735849056603776,0.6726546906187625,0.41025641025641024,1609,25434262,SG,6-3,207,6,"June 28, 1993",80
Brandon Ingram,1627742,8,23,22,158,14,42,26,28,39,50,293,26,0.375,0.21739130434782608,0.4090909090909091,0.4810126582278481,0.35714285714285715,0.30952380952380953,0.4230769230769231,0.25,0.5128205128205128,0.38,0.6313993174061433,0.34615384615384615,729,5757120,SF,6-8,190,2,"September 2, 1997",80
Brandon Knight,202688,28,45,36,53,9,6,5,6,18,8,35,11,0.25,0.3333333333333333,0.3888888888888889,0.24528301886792453,0.3333333333333333,0.8333333333333334,0.6,0.5,0.6666666666666666,0.375,0.5428571428571428,0.18181818181818182,260,14631250,PG,6-2,182,6,"December 2, 1991",80
Bryn Forbes,1627854,80,139,142,106,29,65,26,24,34,29,94,20,0.4375,0.38848920863309355,0.4154929577464789,0.44339622641509435,0.5862068965517241,0.4153846153846154,0.8076923076923077,0.5416666666666666,0.4411764705882353,0.27586206896551724,0.574468085106383,0.55,791,3125000,SG,6-2,205,2,"July 23, 1993",80
Buddy Hield,1627741,101,226,187,131,76,78,54,61,46,48,292,58,0.4752475247524752,0.39823008849557523,0.37433155080213903,0.31297709923664124,0.5263157894736842,0.48717948717948717,0.3888888888888889,0.4262295081967213,0.5217391304347826,0.3333333333333333,0.6164383561643836,0.5,1360,3833760,SG,6-4,220,2,"December 17, 1992",80
Cedi Osman,1626224,76,102,104,100,43,17,13,33,24,19,264,47,0.3815789473684211,0.37254901960784315,0.3173076923076923,0.36,0.32558139534883723,0.29411764705882354,0.5384615384615384,0.45454545454545453,0.375,0.21052631578947367,0.5833333333333334,0.3404255319148936,844,2775000,SF,6-7,230,1,"April 8, 1995",80
Chandler Parsons,202718,18,25,29,21,9,5,6,5,5,7,39,12,0.2222222222222222,0.32,0.41379310344827586,0.38095238095238093,0.3333333333333333,0.8,0.5,0,0.2,0.2857142857142857,0.5384615384615384,0.16666666666666666,182,24107258,SF,6-9,230,7,"October 25, 1988",80
Chris Paul,101108,95,108,88,152,22,41,5,27,14,56,72,37,0.35789473684210527,0.37037037037037035,0.3409090909090909,0.45394736842105265,0.4090909090909091,0.5121951219512195,0.4,0.4074074074074074,0.5714285714285714,0.4642857142857143,0.5555555555555556,0.2972972972972973,720,35654150,PG,6-0,175,13,"May 6, 1985",80
CJ McCollum,203468,115,153,134,215,22,88,60,63,49,59,264,20,0.34782608695652173,0.40522875816993464,0.3283582089552239,0.4604651162790698,0.5454545454545454,0.5227272727272727,0.5,0.4444444444444444,0.4897959183673469,0.5423728813559322,0.5492424242424242,0.45,1243,25759766,SG,6-3,190,5,"September 19, 1991",80
Collin Sexton,1629012,67,85,106,181,22,99,71,58,78,64,361,13,0.34328358208955223,0.47058823529411764,0.42452830188679247,0.3370165745856354,0.4090909090909091,0.31313131313131315,0.352112676056338,0.41379310344827586,0.46153846153846156,0.453125,0.5373961218836565,0.15384615384615385,1206,4073760,PG,6-1,190,0,"January 4, 1999",80
Cory Joseph,202709,20,55,53,96,17,29,31,49,31,45,96,22,0.45,0.32727272727272727,0.2641509433962264,0.4375,0.4117647058823529,0.27586206896551724,0.3548387096774194,0.4897959183673469,0.2903225806451613,0.4444444444444444,0.59375,0.2727272727272727,548,7945000,PG,6-3,200,7,"August 20, 1991",80
