PLAYER_NAME,PLAYER_ID,ab3c attempt,ab3lc attempt,ab3rc attempt,paint attempt,lc3 attempt,mrc attempt,mrlc attempt,mrl attempt,mrrc attempt,mrr attempt,ra attempt,rc3 attempt,ab3c pct,ab3lc pct,ab3rc pct,paint pct,lc3 pct,mrc pct,mrlc pct,mrl pct,mrrc pct,mrr pct,ra pct,rc3 pct,total_attempts,Salary,Pos,Ht,Wt,Exp,Birth Date
Aaron Gordon,203932,69,111,71,140,52,41,35,47,24,29,383,40,0.30434782608695654,0.36936936936936937,0.323943661971831,0.34285714285714286,0.3269230769230769,0.2682926829268293,0.2857142857142857,0.2978723404255319,0.5,0.3793103448275862,0.6344647519582245,0.475,1046,21590909,PF,6-8,235,4,"September 16, 1995"
Aaron Holiday,1628988,31,32,47,36,6,16,5,1,16,9,52,10,0.25806451612903225,0.4375,0.3404255319148936,0.3611111111111111,0.3333333333333333,0.375,0.6,0,0.375,0.4444444444444444,0.5769230769230769,0.3,262,1914480,PG,6-0,185,0,"September 30, 1996"
Abdel Nader,1627846,2,32,24,30,20,2,0,3,1,2,78,20,0,0.25,0.375,0.4666666666666667,0.3,0.5,0,0.3333333333333333,0,0,0.5512820512820513,0.45,215,1378242,SF,6-5,225,1,"September 25, 1993"
Al-Farouq Aminu,202329,21,77,87,57,46,7,3,5,10,10,222,48,0.42857142857142855,0.36363636363636365,0.3103448275862069,0.3508771929824561,0.32608695652173914,0.14285714285714285,0,0,0.3,0.3,0.6036036036036037,0.3541666666666667,593,6957105,PF,6-8,220,8,"September 21, 1990"
Al Horford,201143,82,49,51,143,9,49,23,29,22,47,206,12,0.35365853658536583,0.30612244897959184,0.45098039215686275,0.5104895104895105,0.4444444444444444,0.4897959183673469,0.6086956521739131,0.5862068965517241,0.5454545454545454,0.5531914893617021,0.7184466019417476,0.16666666666666666,723,28928710,C,6-9,240,11,"June 3, 1986"
Alan Williams,1626210,0,1,0,6,0,0,0,1,0,0,5,0,0,0,0,0.5,0,0,0,1,0,0,0.8,0,13,77250,PF,6-8,265,3,"January 28, 1993"
Alec Burks,202692,33,59,40,77,24,12,7,23,11,19,157,10,0.36363636363636365,0.4576271186440678,0.25,0.2597402597402597,0.3333333333333333,0.16666666666666666,0.2857142857142857,0.2608695652173913,0.2727272727272727,0.47368421052631576,0.5668789808917197,0.4,474,11536515,SG,6-6,214,7,"July 20, 1991"
Alex Abrines,203518,19,35,44,2,15,3,2,0,2,3,18,12,0.3157894736842105,0.3142857142857143,0.3181818181818182,0,0.3333333333333333,0.3333333333333333,0.5,0,0.5,0.6666666666666666,0.5555555555555556,0.4166666666666667,157,3667645,SG,6-6,200,2,"August 1, 1993"
Alex Caruso,1627936,12,14,12,25,7,7,3,2,1,5,80,5,0.5833333333333334,0.5,0.5,0.28,0.42857142857142855,0.5714285714285714,0,0.5,0,0.2,0.5,0.2,173,77250,PG,6-4,186,1,"February 28, 1994"
Alex Len,203458,47,26,26,68,40,7,2,10,3,9,345,64,0.2765957446808511,0.38461538461538464,0.5,0.3382352941176471,0.35,0.2857142857142857,0,0.3,0,0.4444444444444444,0.6202898550724638,0.375,648,4350000,C,7-0,250,5,"June 16, 1993"
