	PLAYER	2018/19 	2018/19(*)
1.	Stephen Curry	$37,457,154	$38,074,629
2.	Russell Westbrook	$35,665,000	$36,252,932
3.	LeBron James	$35,654,150	$36,241,903
3.	Chris Paul	$35,654,150	$36,241,903
5.	Kyle Lowry	$32,700,000	$33,239,054
6.	Blake Griffin	$31,873,932	$32,399,368
7.	Gordon Hayward	$31,214,295	$31,728,857
8.	James Harden	$30,570,000	$31,073,941
9.	Paul George	$30,560,700	$31,064,488
10.	Mike Conley	$30,521,115	$31,024,250
11.	Kevin Durant	$30,000,000	$30,494,545
12.	Paul Millsap	$29,230,769	$29,712,633
13.	Al Horford	$28,928,710	$29,405,595
14.	Damian Lillard	$27,977,689	$28,438,896
15.	DeMar DeRozan	$27,739,975	$28,197,264
16.	Chris Bosh	$26,837,720	$27,280,135
17.	Jrue Holiday	$26,641,111	$27,080,285
18.	Otto Porter	$26,011,913	$26,440,715
19.	CJ McCollum	$25,759,766	$26,184,411
20.	Joel Embiid	$25,467,250	$25,887,073
20.	Andrew Wiggins	$25,467,250	$25,887,073
20.	Nikola Jokic	$25,467,250	$25,887,073
23.	Anthony Davis	$25,434,263	$25,853,542
24.	Bradley Beal	$25,434,262	$25,853,541
24.	Andre Drummond	$25,434,262	$25,853,541
26.	Hassan Whiteside	$24,434,262	$24,837,057
27.	Dwight Howard	$24,256,725	$24,656,592
28.	Steven Adams	$24,157,304	$24,555,533
28.	Giannis Antetokounmpo	$24,157,304	$24,555,533
30.	Marc Gasol	$24,119,025	$24,516,623
30.	Kevin Love	$24,119,025	$24,516,623
32.	Harrison Barnes	$24,107,258	$24,504,662
32.	Chandler Parsons	$24,107,258	$24,504,662
34.	Nicolas Batum	$24,000,000	$24,395,636
35.	Rudy Gobert	$23,491,573	$23,878,827
36.	Kawhi Leonard	$23,114,066	$23,495,097
37.	DeAndre Jordan	$22,897,200	$23,274,656
38.	LaMarcus Aldridge	$22,347,015	$22,715,402
39.	Serge Ibaka	$21,666,667	$22,023,838
40.	Aaron Gordon	$21,590,909	$21,946,831
41.	Danilo Gallinari	$21,587,579	$21,943,446
42.	Victor Oladipo	$21,000,000	$21,346,181
43.	Ryan Anderson	$20,421,546	$20,758,192
44.	Joakim Noah	$20,261,172	$20,595,174
45.	Kyrie Irving	$20,099,189	$20,430,521
46.	Jabari Parker	$20,000,000	$20,329,696
47.	Jimmy Butler	$19,841,627	$20,168,713
48.	Zach LaVine	$19,500,000	$19,821,454
49.	Wesley Matthews	$19,360,228	$19,679,378
50.	Allen Crabbe	$19,332,500	$19,651,193
51.	Enes Kanter	$19,264,603	$19,582,176
52.	Tyler Johnson	$19,245,370	$19,562,626
53.	John Wall	$19,169,800	$19,485,811
54.	Jeff Teague	$19,000,000	$19,313,212
54.	George Hill	$19,000,000	$19,313,212
56.	Klay Thompson	$18,988,725	$19,301,751
57.	Goran Dragic	$18,109,175	$18,407,701
58.	Kent Bazemore	$18,089,888	$18,388,097
59.	Evan Turner	$17,868,853	$18,163,418
60.	Draymond Green	$17,469,565	$17,757,548
60.	Tristan Thompson	$17,469,565	$17,757,548
62.	Tim Hardaway Jr	$17,325,000	$17,610,599
63.	Pau Gasol	$17,133,285	$17,415,724
64.	Reggie Jackson	$17,043,478	$17,324,437
65.	Evan Fournier	$17,000,000	$17,280,242
65.	Bismack Biyombo	$17,000,000	$17,280,242
67.	Derrick Favors	$16,900,000	$17,178,593
68.	Luol Deng	$16,747,954	$17,024,040
